County,State_Abbr,State_Desc,CountyFIPS,Latitude,Longitude
Yakutat City and Borough,AK,Alaska,2282,60.0174528,-140.416942
Yukon-Koyukuk Census Area,AK,Alaska,2290,65.3757271,-151.5778496
Autauga County,AL,Alabama,1001,32.5322367,-86.6464395
Baldwin County,AL,Alabama,1003,30.6592183,-87.7460666
Barbour County,AL,Alabama,1005,31.8702531,-85.4051035
Bibb County,AL,Alabama,1007,33.0158929,-87.1271475
Blount County,AL,Alabama,1009,33.9773575,-86.56644
Bullock County,AL,Alabama,1011,32.1017589,-85.7172613
Butler County,AL,Alabama,1013,31.751667,-86.6819689
Calhoun County,AL,Alabama,1015,33.7705162,-85.8279089
Chambers County,AL,Alabama,1017,32.9155039,-85.3940321
Cherokee County,AL,Alabama,1019,34.0695153,-85.6542417
Chilton County,AL,Alabama,1021,32.8540514,-86.7266071
Choctaw County,AL,Alabama,1023,31.9909539,-88.2488894
Clarke County,AL,Alabama,1025,31.6855211,-87.8186244
Clay County,AL,Alabama,1027,33.2703999,-85.8635254
Cleburne County,AL,Alabama,1029,33.6719637,-85.5161261
Coffee County,AL,Alabama,1031,31.402258,-85.9896022
Colbert County,AL,Alabama,1033,34.703112,-87.8014569
Conecuh County,AL,Alabama,1035,31.4309257,-86.9887221
Coosa County,AL,Alabama,1037,32.9314453,-86.2434818
Covington County,AL,Alabama,1039,31.2439873,-86.4487206
Crenshaw County,AL,Alabama,1041,31.7303106,-86.3200384
Cullman County,AL,Alabama,1043,34.1319229,-86.8692666
Dale County,AL,Alabama,1045,31.4306536,-85.609476
Dallas County,AL,Alabama,1047,32.3335263,-87.11436
DeKalb County,AL,Alabama,1049,34.4609148,-85.8040207
Elmore County,AL,Alabama,1051,32.597229,-86.1427347
Escambia County,AL,Alabama,1053,31.1222867,-87.1684097
Etowah County,AL,Alabama,1055,34.0476407,-86.0342629
Fayette County,AL,Alabama,1057,33.7161568,-87.7642923
Franklin County,AL,Alabama,1059,34.4419892,-87.8428144
Geneva County,AL,Alabama,1061,31.0923822,-85.8210224
Greene County,AL,Alabama,1063,32.8444965,-87.9642005
Hale County,AL,Alabama,1065,32.7527958,-87.6230608
Henry County,AL,Alabama,1067,31.5169779,-85.2399712
Houston County,AL,Alabama,1069,31.1581831,-85.2964111
Jackson County,AL,Alabama,1071,34.764114,-85.9800556
Jefferson County,AL,Alabama,1073,33.5534439,-86.8965359
Lamar County,AL,Alabama,1075,33.7870852,-88.0874309
Lauderdale County,AL,Alabama,1077,34.9041221,-87.6509966
Lawrence County,AL,Alabama,1079,34.529776,-87.3218651
Lee County,AL,Alabama,1081,32.6040644,-85.3530477
Limestone County,AL,Alabama,1083,34.8102387,-86.9813995
Lowndes County,AL,Alabama,1085,32.147888,-86.6505859
Macon County,AL,Alabama,1087,32.3870267,-85.692887
Madison County,AL,Alabama,1089,34.7642377,-86.5510802
Marengo County,AL,Alabama,1091,32.2475911,-87.791091
Marion County,AL,Alabama,1093,34.1382194,-87.881551
Marshall County,AL,Alabama,1095,34.3095637,-86.3216681
Mobile County,AL,Alabama,1097,30.6845725,-88.1965682
Monroe County,AL,Alabama,1099,31.5803324,-87.3832656
Montgomery County,AL,Alabama,1101,32.2028812,-86.2044615
Morgan County,AL,Alabama,1103,34.4544844,-86.8464021
Perry County,AL,Alabama,1105,32.6390053,-87.2938269
Pickens County,AL,Alabama,1107,33.2968003,-88.0968644
Pike County,AL,Alabama,1109,31.7986533,-85.9416076
Randolph County,AL,Alabama,1111,33.2964614,-85.4640637
Russell County,AL,Alabama,1113,32.2898113,-85.1869798
Shelby County,AL,Alabama,1117,33.2630428,-86.6780894
St. Clair County,AL,Alabama,1115,33.7194907,-86.3113273
Sumter County,AL,Alabama,1119,32.5974811,-88.2000571
Talladega County,AL,Alabama,1121,33.3693135,-86.1759302
Tallapoosa County,AL,Alabama,1123,32.8633076,-85.7996176
Tuscaloosa County,AL,Alabama,1125,33.2902197,-87.5227834
Walker County,AL,Alabama,1127,33.7915581,-87.3010936
Washington County,AL,Alabama,1129,31.4085035,-88.2124041
Wilcox County,AL,Alabama,1131,31.9900824,-87.3049349
Winston County,AL,Alabama,1133,34.1545665,-87.3653458
Arkansas County,AR,Arkansas,5001,34.2895697,-91.3765466
Ashley County,AR,Arkansas,5003,33.1908354,-91.7722672
Baxter County,AR,Arkansas,5005,36.2802684,-92.3299488
Benton County,AR,Arkansas,5007,36.3378189,-94.2562984
Boone County,AR,Arkansas,5009,36.3042991,-93.0792364
Bradley County,AR,Arkansas,5011,33.4665491,-92.1691559
Calhoun County,AR,Arkansas,5013,33.5604604,-92.513879
Carroll County,AR,Arkansas,5015,36.3373704,-93.5409718
Chicot County,AR,Arkansas,5017,33.2671393,-91.2971578
Clark County,AR,Arkansas,5019,34.0533162,-93.1762085
Clay County,AR,Arkansas,5021,36.3673021,-90.4187041
Cleburne County,AR,Arkansas,5023,35.5663146,-92.0599504
Cleveland County,AR,Arkansas,5025,33.8932006,-92.1887141
Columbia County,AR,Arkansas,5027,33.2230377,-93.2328433
Conway County,AR,Arkansas,5029,35.265702,-92.6892479
Craighead County,AR,Arkansas,5031,35.8277285,-90.6314213
Crawford County,AR,Arkansas,5033,35.5830114,-94.2362187
Crittenden County,AR,Arkansas,5035,35.1975594,-90.3051195
Cross County,AR,Arkansas,5037,35.2856921,-90.7639835
Dallas County,AR,Arkansas,5039,33.9678233,-92.6539989
Desha County,AR,Arkansas,5041,33.8287519,-91.2441034
Drew County,AR,Arkansas,5043,33.5872418,-91.7227781
Faulkner County,AR,Arkansas,5045,35.1465478,-92.3369277
Franklin County,AR,Arkansas,5047,35.5085579,-93.8876647
Fulton County,AR,Arkansas,5049,36.3813225,-91.8192849
Garland County,AR,Arkansas,5051,34.5788522,-93.1469323
Grant County,AR,Arkansas,5053,34.2855683,-92.4229794
Greene County,AR,Arkansas,5055,36.1206072,-90.5663459
Hempstead County,AR,Arkansas,5057,33.735953,-93.6643553
Hot Spring County,AR,Arkansas,5059,34.3151767,-92.9441474
Howard County,AR,Arkansas,5061,34.0830639,-93.9909315
Independence County,AR,Arkansas,5063,35.7374992,-91.5599423
Izard County,AR,Arkansas,5065,36.0948792,-91.9136252
Jackson County,AR,Arkansas,5067,35.5964674,-91.2232051
Jefferson County,AR,Arkansas,5069,34.277239,-91.929673
Johnson County,AR,Arkansas,5071,35.5733586,-93.4663223
Lafayette County,AR,Arkansas,5073,33.2406294,-93.611514
Lawrence County,AR,Arkansas,5075,36.0410983,-91.1011529
Lee County,AR,Arkansas,5077,34.7795048,-90.7797172
Lincoln County,AR,Arkansas,5079,33.9563846,-91.742355
Little River County,AR,Arkansas,5081,33.7019411,-94.2362871
Logan County,AR,Arkansas,5083,35.2186538,-93.7209102
Lonoke County,AR,Arkansas,5085,34.7551137,-91.894132
Madison County,AR,Arkansas,5087,36.0125452,-93.7240531
Marion County,AR,Arkansas,5089,36.2666636,-92.6785765
Miller County,AR,Arkansas,5091,33.3055054,-93.9015018
Mississippi County,AR,Arkansas,5093,35.7669437,-90.0522072
Monroe County,AR,Arkansas,5095,34.6795117,-91.2033099
Montgomery County,AR,Arkansas,5097,34.5456557,-93.664153
Nevada County,AR,Arkansas,5099,33.6666991,-93.3050716
Newton County,AR,Arkansas,5101,35.9107423,-93.2158984
Ouachita County,AR,Arkansas,5103,33.5911684,-92.8784131
Perry County,AR,Arkansas,5105,34.9463629,-92.9268773
Phillips County,AR,Arkansas,5107,34.4236874,-90.8555931
Pike County,AR,Arkansas,5109,34.1581907,-93.6586589
Poinsett County,AR,Arkansas,5111,35.5688702,-90.6811037
Polk County,AR,Arkansas,5113,34.4909149,-94.2308841
Pope County,AR,Arkansas,5115,35.456557,-93.0268181
Prairie County,AR,Arkansas,5117,34.8311162,-91.5536205
Pulaski County,AR,Arkansas,5119,34.7703106,-92.312996
Randolph County,AR,Arkansas,5121,36.3412985,-91.0284409
Saline County,AR,Arkansas,5125,34.6485246,-92.674463
Scott County,AR,Arkansas,5127,34.8588693,-94.0636413
Searcy County,AR,Arkansas,5129,35.8963868,-92.6958884
Sebastian County,AR,Arkansas,5131,35.1969808,-94.2749889
Sevier County,AR,Arkansas,5133,33.9948773,-94.2432792
Sharp County,AR,Arkansas,5135,36.1733989,-91.4710689
St. Francis County,AR,Arkansas,5123,35.0228383,-90.7515058
Stone County,AR,Arkansas,5137,35.8570011,-92.1404819
Union County,AR,Arkansas,5139,33.1682186,-92.5981447
Van Buren County,AR,Arkansas,5141,35.5829532,-92.5159757
Washington County,AR,Arkansas,5143,35.978001,-94.2172695
White County,AR,Arkansas,5145,35.2551175,-91.7530339
Woodruff County,AR,Arkansas,5147,35.1927768,-91.2445353
Yell County,AR,Arkansas,5149,34.9977133,-93.4083032
Apache County,AZ,Arizona,4001,35.385084,-109.4901722
Cochise County,AZ,Arizona,4003,31.8401287,-109.7751627
Coconino County,AZ,Arizona,4005,35.8296919,-111.7737277
Gila County,AZ,Arizona,4007,33.7896177,-110.8118696
Graham County,AZ,Arizona,4009,32.9318277,-109.8783103
Greenlee County,AZ,Arizona,4011,33.2388723,-109.2423231
La Paz County,AZ,Arizona,4012,33.7276104,-114.038806
Maricopa County,AZ,Arizona,4013,33.3451756,-112.4989296
Mohave County,AZ,Arizona,4015,35.717705,-113.7496891
Navajo County,AZ,Arizona,4017,35.3907852,-110.3210248
Pima County,AZ,Arizona,4019,32.128038,-111.7836574
Pinal County,AZ,Arizona,4021,32.9185207,-111.3663394
Santa Cruz County,AZ,Arizona,4023,31.525733,-110.8452278
Yavapai County,AZ,Arizona,4025,34.631071,-112.5772247
Yuma County,AZ,Arizona,4027,32.7739424,-113.910905
Alameda County,CA,California,6001,37.6471385,-121.912488
Alpine County,CA,California,6003,38.6217831,-119.7983522
Amador County,CA,California,6005,38.4435493,-120.653858
Butte County,CA,California,6007,39.6653362,-121.6032086
Calaveras County,CA,California,6009,38.1910682,-120.5541065
Colusa County,CA,California,6011,39.1777385,-122.2375629
Contra Costa County,CA,California,6013,37.919479,-121.9515431
Del Norte County,CA,California,6015,41.7499033,-123.9809983
El Dorado County,CA,California,6017,38.7856116,-120.5342245
Fresno County,CA,California,6019,36.7610058,-119.6550193
Glenn County,CA,California,6021,39.6025462,-122.4016998
Humboldt County,CA,California,6023,40.7066554,-123.9261757
Imperial County,CA,California,6025,33.0408143,-115.3554001
Inyo County,CA,California,6027,36.5621604,-117.4042092
Kern County,CA,California,6029,35.3466288,-118.7295064
Kings County,CA,California,6031,36.072478,-119.8155301
Lake County,CA,California,6033,39.0948019,-122.7467569
Lassen County,CA,California,6035,40.7152866,-120.6212225
Los Angeles County,CA,California,6037,34.1963983,-118.2618616
Madera County,CA,California,6039,37.2098213,-119.7498023
Marin County,CA,California,6041,38.0513667,-122.7463958
Mariposa County,CA,California,6043,37.5743432,-119.9117215
Mendocino County,CA,California,6045,39.4323876,-123.4428811
Merced County,CA,California,6047,37.1948063,-120.7228019
Modoc County,CA,California,6049,41.5929185,-120.7183704
Mono County,CA,California,6051,37.9158363,-118.8751668
Monterey County,CA,California,6053,36.2401044,-121.3155781
Napa County,CA,California,6055,38.5070999,-122.3259045
Nevada County,CA,California,6057,39.2975082,-120.7713429
Orange County,CA,California,6059,33.6756872,-117.7772068
Placer County,CA,California,6061,39.0620323,-120.7227181
Plumas County,CA,California,6063,39.9922953,-120.8243709
Riverside County,CA,California,6065,33.7298275,-116.0022389
Sacramento County,CA,California,6067,38.4501363,-121.3443291
San Benito County,CA,California,6069,36.6116507,-121.0858108
San Bernardino County,CA,California,6071,34.8566615,-116.1815707
San Diego County,CA,California,6073,33.0236041,-116.7761174
San Francisco County,CA,California,6075,37.7272391,-123.0322294
San Joaquin County,CA,California,6077,37.9349815,-121.272244
San Luis Obispo County,CA,California,6079,35.3881891,-120.4488974
San Mateo County,CA,California,6081,37.4146725,-122.3715457
Santa Barbara County,CA,California,6083,34.5366774,-120.0383645
Santa Clara County,CA,California,6085,37.2216142,-121.6895401
Santa Cruz County,CA,California,6087,37.0123466,-122.0077889
Shasta County,CA,California,6089,40.7605142,-122.0435558
Sierra County,CA,California,6091,39.5769252,-120.5219926
Siskiyou County,CA,California,6093,41.5879861,-122.5332868
Solano County,CA,California,6095,38.2672255,-121.939594
Sonoma County,CA,California,6097,38.5251824,-122.9261095
Stanislaus County,CA,California,6099,37.5623162,-121.0028311
Sutter County,CA,California,6101,39.0361898,-121.7039397
Tehama County,CA,California,6103,40.1261573,-122.2322737
Trinity County,CA,California,6105,40.6478582,-123.114666
Tulare County,CA,California,6107,36.2288339,-118.7810551
Tuolumne County,CA,California,6109,38.0214344,-119.9647335
Ventura County,CA,California,6111,34.3587477,-119.1331453
Yolo County,CA,California,6113,38.6796091,-121.90275
Yuba County,CA,California,6115,39.27013,-121.3442587
Adams County,CO,Colorado,8001,39.8743252,-104.3318718
Alamosa County,CO,Colorado,8003,37.5684423,-105.7880414
Arapahoe County,CO,Colorado,8005,39.6445537,-104.3317065
Archuleta County,CO,Colorado,8007,37.2023952,-107.0508634
Baca County,CO,Colorado,8009,37.3097802,-102.5437412
Bent County,CO,Colorado,8011,37.9318907,-103.0775841
Boulder County,CO,Colorado,8013,40.0949634,-105.3977041
Broomfield County,CO,Colorado,8014,39.9535933,-105.0507868
Chaffee County,CO,Colorado,8015,38.7345986,-106.3000246
Cheyenne County,CO,Colorado,8017,38.8356456,-102.6017914
Clear Creek County,CO,Colorado,8019,39.6894025,-105.6707833
Conejos County,CO,Colorado,8021,37.2134065,-106.1764473
Costilla County,CO,Colorado,8023,37.2775474,-105.4289399
Crowley County,CO,Colorado,8025,38.3061801,-103.7727363
Custer County,CO,Colorado,8027,38.1019955,-105.3735123
Delta County,CO,Colorado,8029,38.8615949,-107.8648924
Denver County,CO,Colorado,8031,39.7618502,-104.8811054
Dolores County,CO,Colorado,8033,37.7338227,-108.5062192
Douglas County,CO,Colorado,8035,39.325414,-104.9259871
Eagle County,CO,Colorado,8037,39.6269919,-106.6951694
El Paso County,CO,Colorado,8041,38.8273831,-104.5274718
Elbert County,CO,Colorado,8039,39.3151572,-104.1140759
Fremont County,CO,Colorado,8043,38.4551697,-105.4249582
Garfield County,CO,Colorado,8045,39.5993517,-107.9097802
Gilpin County,CO,Colorado,8047,39.8611555,-105.5288778
Grand County,CO,Colorado,8049,40.1130652,-106.1108366
Gunnison County,CO,Colorado,8051,38.6704993,-107.0568798
Hinsdale County,CO,Colorado,8053,37.8115187,-107.3839736
Huerfano County,CO,Colorado,8055,37.6878154,-104.9599278
Jackson County,CO,Colorado,8057,40.6634319,-106.3292476
Jefferson County,CO,Colorado,8059,39.5795106,-105.245462
Kiowa County,CO,Colorado,8061,38.387663,-102.7568494
Kit Carson County,CO,Colorado,8063,39.3053399,-102.6030226
La Plata County,CO,Colorado,8067,37.2873673,-107.8397178
Lake County,CO,Colorado,8065,39.2053405,-106.350079
Larimer County,CO,Colorado,8069,40.6580933,-105.4867638
Las Animas County,CO,Colorado,8071,37.3188308,-104.0441103
Lincoln County,CO,Colorado,8073,38.9937401,-103.5075545
Logan County,CO,Colorado,8075,40.7280911,-103.0904639
Mesa County,CO,Colorado,8077,39.019524,-108.4605707
Mineral County,CO,Colorado,8079,37.5490672,-107.003236
Moffat County,CO,Colorado,8081,40.6108644,-108.2171545
Montezuma County,CO,Colorado,8083,37.3380247,-108.5957864
Montrose County,CO,Colorado,8085,38.4075069,-108.2662815
Morgan County,CO,Colorado,8087,40.263159,-103.8122102
Otero County,CO,Colorado,8089,37.8841698,-103.7212597
Ouray County,CO,Colorado,8091,38.1547313,-107.7884802
Park County,CO,Colorado,8093,39.1189141,-105.7176479
Phillips County,CO,Colorado,8095,40.5947117,-102.3451047
Pitkin County,CO,Colorado,8097,39.2175407,-106.9161621
Prowers County,CO,Colorado,8099,37.9581814,-102.3921613
Pueblo County,CO,Colorado,8101,38.1627652,-104.4846683
Rio Blanco County,CO,Colorado,8103,39.9726223,-108.2007155
Rio Grande County,CO,Colorado,8105,37.4858534,-106.453128
Routt County,CO,Colorado,8107,40.4836638,-106.9877021
Saguache County,CO,Colorado,8109,38.0316514,-106.2346662
San Juan County,CO,Colorado,8111,37.7810492,-107.6702567
San Miguel County,CO,Colorado,8113,38.009319,-108.4272635
Sedgwick County,CO,Colorado,8115,40.8715679,-102.3553579
Summit County,CO,Colorado,8117,39.6210227,-106.1375545
Teller County,CO,Colorado,8119,38.8699759,-105.1873651
Washington County,CO,Colorado,8121,39.9657899,-103.2097445
Weld County,CO,Colorado,8123,40.555961,-104.383666
Yuma County,CO,Colorado,8125,40.0007703,-102.4216491
Fairfield County,CT,Connecticut,9001,41.2274128,-73.3670614
Hartford County,CT,Connecticut,9003,41.8060534,-72.7329157
Litchfield County,CT,Connecticut,9005,41.7918833,-73.2354042
Middlesex County,CT,Connecticut,9007,41.4330028,-72.5227802
New Haven County,CT,Connecticut,9009,41.3497185,-72.9002033
New London County,CT,Connecticut,9011,41.4726517,-72.1086339
Tolland County,CT,Connecticut,9013,41.8580807,-72.3409779
Windham County,CT,Connecticut,9015,41.8249987,-71.9907017
District of Columbia,DC,District of Columbia,11001,38.9042474,-77.0165167
Kent County,DE,Delaware,10001,39.0970884,-75.5029819
New Castle County,DE,Delaware,10003,39.5759152,-75.6441324
Sussex County,DE,Delaware,10005,38.6732275,-75.3370237
Alachua County,FL,Florida,12001,29.6757403,-82.357221
Baker County,FL,Florida,12003,30.3244416,-82.3022838
Bay County,FL,Florida,12005,30.1591402,-85.5343954
Bradford County,FL,Florida,12007,29.9523863,-82.1666983
Brevard County,FL,Florida,12009,28.2983112,-80.7003334
Broward County,FL,Florida,12011,26.1935353,-80.4766834
Calhoun County,FL,Florida,12013,30.3888013,-85.1979155
Charlotte County,FL,Florida,12015,26.9063964,-82.0036572
Citrus County,FL,Florida,12017,28.8502922,-82.5955524
Clay County,FL,Florida,12019,29.9865835,-81.8650364
Collier County,FL,Florida,12021,26.118786,-81.4009553
Columbia County,FL,Florida,12023,30.2216509,-82.6233712
DeSoto County,FL,Florida,12027,27.1905809,-81.8062531
Dixie County,FL,Florida,12029,29.5526748,-83.2362319
Duval County,FL,Florida,12031,30.3352449,-81.6481132
Escambia County,FL,Florida,12033,30.5299979,-87.3203222
Flagler County,FL,Florida,12035,29.4748909,-81.2862532
Franklin County,FL,Florida,12037,29.6777939,-84.8152135
Gadsden County,FL,Florida,12039,30.5786866,-84.6126072
Gilchrist County,FL,Florida,12041,29.7234556,-82.7958011
Glades County,FL,Florida,12043,26.9548102,-81.1908197
Gulf County,FL,Florida,12045,29.8592383,-85.2720125
Hamilton County,FL,Florida,12047,30.4911868,-82.9510714
Hardee County,FL,Florida,12049,27.4928458,-81.8215798
Hendry County,FL,Florida,12051,26.539967,-81.1521142
Hernando County,FL,Florida,12053,28.5559951,-82.5259685
Highlands County,FL,Florida,12055,27.3410799,-81.3423534
Hillsborough County,FL,Florida,12057,27.8931535,-82.3799907
Holmes County,FL,Florida,12059,30.8620072,-85.8159385
Indian River County,FL,Florida,12061,27.7005283,-80.5747894
Jackson County,FL,Florida,12063,30.7892485,-85.2088141
Jefferson County,FL,Florida,12065,30.396898,-83.9217606
Lafayette County,FL,Florida,12067,29.9900661,-83.1785097
Lake County,FL,Florida,12069,28.7641128,-81.7122822
Lee County,FL,Florida,12071,26.5632731,-81.9841817
Leon County,FL,Florida,12073,30.4593104,-84.2778004
Levy County,FL,Florida,12075,29.2718541,-82.831233
Liberty County,FL,Florida,12077,30.2598494,-84.8685805
Madison County,FL,Florida,12079,30.4472325,-83.4704159
Manatee County,FL,Florida,12081,27.4755558,-82.3931438
Marion County,FL,Florida,12083,29.2028047,-82.0431004
Martin County,FL,Florida,12085,27.0836036,-80.3982011
Miami-Dade County,FL,Florida,12086,25.6160085,-80.5037495
Monroe County,FL,Florida,12087,25.5861198,-81.0226025
Nassau County,FL,Florida,12089,30.6059629,-81.7650867
Okaloosa County,FL,Florida,12091,30.6143245,-86.5910804
Okeechobee County,FL,Florida,12093,27.3855924,-80.8873884
Orange County,FL,Florida,12095,28.5143906,-81.3232839
Osceola County,FL,Florida,12097,28.0590267,-81.1393116
Palm Beach County,FL,Florida,12099,26.6491257,-80.4483542
Pasco County,FL,Florida,12101,28.3098227,-82.5110062
Pinellas County,FL,Florida,12103,27.9053425,-82.7980663
Polk County,FL,Florida,12105,27.9536488,-81.6935336
Putnam County,FL,Florida,12107,29.5938964,-81.7320389
Santa Rosa County,FL,Florida,12113,30.6753483,-87.0189188
Sarasota County,FL,Florida,12115,27.2253265,-82.4237137
Seminole County,FL,Florida,12117,28.6900648,-81.1319751
St. Johns County,FL,Florida,12109,29.8904875,-81.4000404
St. Lucie County,FL,Florida,12111,27.3798137,-80.4435357
Sumter County,FL,Florida,12119,28.7154442,-82.0699524
Suwannee County,FL,Florida,12121,30.1892438,-82.9927542
Taylor County,FL,Florida,12123,29.967146,-83.6395729
Union County,FL,Florida,12125,30.0542796,-82.366918
Volusia County,FL,Florida,12127,29.057769,-81.161792
Wakulla County,FL,Florida,12129,30.0913354,-84.3591114
Walton County,FL,Florida,12131,30.5712465,-86.162798
Washington County,FL,Florida,12133,30.6021017,-85.6558052
Appling County,GA,Georgia,13001,31.739712,-82.2901025
Atkinson County,GA,Georgia,13003,31.2968056,-82.8781511
Bacon County,GA,Georgia,13005,31.5502095,-82.4514325
Baker County,GA,Georgia,13007,31.3195798,-84.4548812
Baldwin County,GA,Georgia,13009,33.0594897,-83.2554566
Banks County,GA,Georgia,13011,34.3519216,-83.4984409
Barrow County,GA,Georgia,13013,33.9920094,-83.7123025
Bartow County,GA,Georgia,13015,34.2409175,-84.8381879
Ben Hill County,GA,Georgia,13017,31.7407715,-83.147197
Berrien County,GA,Georgia,13019,31.2886522,-83.2278695
Bibb County,GA,Georgia,13021,32.8088446,-83.6941941
Bleckley County,GA,Georgia,13023,32.4354034,-83.3317174
Brantley County,GA,Georgia,13025,31.1973339,-81.9829779
Brooks County,GA,Georgia,13027,30.8229337,-83.5819054
Bryan County,GA,Georgia,13029,32.0179692,-81.4385431
Bulloch County,GA,Georgia,13031,32.3944811,-81.7416185
Burke County,GA,Georgia,13033,33.0601805,-82.0001638
Butts County,GA,Georgia,13035,33.2903551,-83.9582206
Calhoun County,GA,Georgia,13037,31.521279,-84.6262895
Camden County,GA,Georgia,13039,30.913358,-81.6420193
Candler County,GA,Georgia,13043,32.4039497,-82.0712656
Carroll County,GA,Georgia,13045,33.5822366,-85.0805272
Catoosa County,GA,Georgia,13047,34.9002118,-85.1393851
Charlton County,GA,Georgia,13049,30.7799036,-82.1396442
Chatham County,GA,Georgia,13051,31.9804037,-81.085184
Chattahoochee County,GA,Georgia,13053,32.3474454,-84.7880206
Chattooga County,GA,Georgia,13055,34.4741785,-85.3452894
Cherokee County,GA,Georgia,13057,34.2443166,-84.4750574
Clarke County,GA,Georgia,13059,33.9521852,-83.3671522
Clay County,GA,Georgia,13061,31.6198309,-84.9925826
Clayton County,GA,Georgia,13063,33.5426863,-84.3555727
Clinch County,GA,Georgia,13065,30.9176531,-82.7026143
Cobb County,GA,Georgia,13067,33.9399286,-84.5741213
Coffee County,GA,Georgia,13069,31.5492452,-82.8449401
Colquitt County,GA,Georgia,13071,31.1897075,-83.769773
Columbia County,GA,Georgia,13073,33.5520746,-82.2496077
Cook County,GA,Georgia,13075,31.1525157,-83.4294448
Coweta County,GA,Georgia,13077,33.3528965,-84.7621381
Crawford County,GA,Georgia,13079,32.7094283,-83.9791874
Crisp County,GA,Georgia,13081,31.9202675,-83.7565301
Dade County,GA,Georgia,13083,34.8524237,-85.5062006
Dawson County,GA,Georgia,13085,34.4426077,-84.1732611
DeKalb County,GA,Georgia,13089,33.7706611,-84.2263432
Decatur County,GA,Georgia,13087,30.8806431,-84.5838902
Dodge County,GA,Georgia,13091,32.164369,-83.1678658
Dooly County,GA,Georgia,13093,32.1519954,-83.807167
Dougherty County,GA,Georgia,13095,31.5325876,-84.20904
Douglas County,GA,Georgia,13097,33.7012421,-84.7673139
Early County,GA,Georgia,13099,31.3241906,-84.9067225
Echols County,GA,Georgia,13101,30.7140081,-82.8973758
Effingham County,GA,Georgia,13103,32.361688,-81.3433553
Elbert County,GA,Georgia,13105,34.1164153,-82.8418919
Emanuel County,GA,Georgia,13107,32.5910995,-82.2997628
Evans County,GA,Georgia,13109,32.1530834,-81.890153
Fannin County,GA,Georgia,13111,34.8665427,-84.3173308
Fayette County,GA,Georgia,13113,33.4127172,-84.4939407
Floyd County,GA,Georgia,13115,34.2636918,-85.2136851
Forsyth County,GA,Georgia,13117,34.225143,-84.1274075
Franklin County,GA,Georgia,13119,34.3752657,-83.2275325
Fulton County,GA,Georgia,13121,33.7900338,-84.4681816
Gilmer County,GA,Georgia,13123,34.6905055,-84.4546244
Glascock County,GA,Georgia,13125,33.2274908,-82.6069126
Glynn County,GA,Georgia,13127,31.2127098,-81.4964503
Gordon County,GA,Georgia,13129,34.5096669,-84.8738622
Grady County,GA,Georgia,13131,30.8759076,-84.2450803
Greene County,GA,Georgia,13133,33.5767036,-83.1666253
Gwinnett County,GA,Georgia,13135,33.9587564,-84.0257351
Habersham County,GA,Georgia,13137,34.6343924,-83.5258749
Hall County,GA,Georgia,13139,34.3175689,-83.8184997
Hancock County,GA,Georgia,13141,33.2692195,-83.0004653
Haralson County,GA,Georgia,13143,33.7951646,-85.2200629
Harris County,GA,Georgia,13145,32.7315494,-84.912432
Hart County,GA,Georgia,13147,34.3487328,-82.96329
Heard County,GA,Georgia,13149,33.2913469,-85.1378862
Henry County,GA,Georgia,13151,33.4529466,-84.1540207
Houston County,GA,Georgia,13153,32.4582875,-83.6625217
Irwin County,GA,Georgia,13155,31.6043062,-83.2770374
